date,y,wday,is_holiday,res_wday
2010-05-04,1047595,3,0,63288.2115384615
2010-05-05,1033684,4,0,46536.4807692308
2010-05-06,1030345,5,0,62835.0384615385
2010-05-07,959307,6,0,9342.24528301892
2010-05-08,608071,7,0,-8053.4615384615
2010-05-09,439376,1,0,-1572.51923076925
2010-06-01,1024767,3,0,40460.2115384615
2010-06-10,1019373,5,0,51863.0384615385
2010-06-11,979074,6,0,29109.2452830189
2010-06-12,600914,7,0,-15210.4615384615
2010-06-13,451434,1,0,10485.4807692308
2010-06-14,955902,2,0,35095.9423076923
2010-06-15,948177,3,0,-36129.7884615385
2010-06-16,1003968,4,0,16820.4807692308
2010-06-17,954409,5,0,-13100.9615384615
2010-06-18,940534,6,0,-9430.75471698109
2010-06-19,673052,7,1,56927.5384615385
2010-06-02,990049,4,0,2901.48076923075
2010-06-20,465420,1,0,24471.4807692308
2010-06-21,868542,2,0,-52264.0576923078
2010-06-22,916810,3,0,-67496.7884615385
2010-06-23,820493,4,0,-166654.519230769
2010-06-24,931520,5,0,-35989.9615384615
2010-06-25,941751,6,0,-8213.75471698109
2010-06-26,646770,7,0,30645.5384615385
2010-06-27,439815,1,0,-1133.51923076925
2010-06-28,911187,2,0,-9619.05769230775
2010-06-29,919886,3,0,-64420.7884615385
2010-06-03,1042401,5,0,74891.0384615385
2010-06-30,939032,4,0,-48115.5192307693
2010-06-04,1013014,6,0,63049.2452830189
2010-06-05,596776,7,0,-19348.4615384615
2010-06-06,455093,1,0,14144.4807692308
2010-06-07,1001595,2,0,80788.9423076923
2010-06-08,931456,3,0,-52850.7884615385
2010-06-09,1032439,4,0,45291.4807692308
2010-07-01,997162,5,0,29652.0384615385
2010-07-10,625843,7,0,9718.5384615385
2010-07-11,441707,1,0,758.480769230751
2010-07-12,916793,2,0,-4013.05769230775
2010-07-13,944367,3,0,-39939.7884615385
2010-07-14,938980,4,0,-48167.5192307693
2010-07-15,934492,5,0,-33017.9615384615
2010-07-16,928476,6,0,-21488.7547169811
2010-07-17,653987,7,0,37862.5384615385
2010-07-18,453952,1,0,13003.4807692308
2010-07-19,927114,2,0,6307.94230769226
2010-07-02,948286,6,0,-1678.75471698109
2010-07-20,938739,3,0,-45567.7884615385
2010-07-21,951550,4,0,-35597.5192307693
